Timestamp,Vid,Type,Title,Status,Size,Latency,FullRequest
6687424689,1620200000,HTTP,Recherche normale,200,26514,262562818,https://34.244.75.167/events/search
6773398993,1620200002,HTTP,Recherche normale,200,26514,277749843,https://34.244.75.167/events/search
6781037597,1620200003,HTTP,Recherche normale,200,26514,270547799,https://34.244.75.167/events/search
6830879952,1620200004,HTTP,Recherche anormale,200,26514,258094016,https://34.244.75.167/events/search
6867575441,1620200001,HTTP,Recherche anormale,200,26514,260814956,https://34.244.75.167/events/search
6910748737,1620200000,HTTP,Recherche anormale,200,26514,223056703,https://34.244.75.167/events/search
6913529797,1620200006,HTTP,Recherche anormale,200,26514,231653977,https://34.244.75.167/events/search
6922031715,1620200005,HTTP,Recherche anormale,200,26514,237060538,https://34.244.75.167/events/search
7007224692,1620200003,HTTP,Recherche anormale,200,26514,225830301,https://34.244.75.167/events/search
7018237506,1620200002,HTTP,Recherche anormale,200,26514,244444169,https://34.244.75.167/events/search
7460216463,1620200004,HTTP,Recherche normale,200,26514,628619588,https://34.244.75.167/events/search
7460443662,1620200001,HTTP,Recherche normale,200,26514,592561791,https://34.244.75.167/events/search
7000000000,,GLOBAL,,0,8,0,
7528706243,1620200000,HTTP,Recherche normale,200,26514,617679163,https://34.244.75.167/events/search
7544308037,1620200005,HTTP,Recherche normale,200,26514,621951837,https://34.244.75.167/events/search
7554579767,1620200006,HTTP,Recherche normale,200,26514,640714180,https://34.244.75.167/events/search
7639015241,1620200003,HTTP,Recherche normale,200,26514,631479714,https://34.244.75.167/events/search
7664539087,1620200002,HTTP,Recherche normale,200,26514,646021207,https://34.244.75.167/events/search
7711062529,1620200001,HTTP,Recherche anormale,200,26514,250361340,https://34.244.75.167/events/search
7711904871,1620200004,HTTP,Recherche anormale,200,26514,251391679,https://34.244.75.167/events/search
7716930721,1620200007,HTTP,Recherche normale,200,26514,254204434,https://34.244.75.167/events/search
7767489870,1620200000,HTTP,Recherche anormale,200,26514,238289567,https://34.244.75.167/events/search
7798397665,1620200005,HTTP,Recherche anormale,200,26514,253839936,https://34.244.75.167/events/search
7801087927,1620200006,HTTP,Recherche anormale,200,26514,246278172,https://34.244.75.167/events/search
7864506140,1620200003,HTTP,Recherche anormale,200,26514,225320852,https://34.244.75.167/events/search
7911163665,1620200002,HTTP,Recherche anormale,200,26514,246427926,https://34.244.75.167/events/search
7939654790,1620200001,HTTP,Recherche normale,200,26514,228188264,https://34.244.75.167/events/search
7955103275,1620200004,HTTP,Recherche normale,200,26514,242645388,https://34.244.75.167/events/search
7957257118,1620200007,HTTP,Recherche anormale,200,26514,239994140,https://34.244.75.167/events/search
7994360403,1620200000,HTTP,Recherche normale,200,26514,226623310,https://34.244.75.167/events/search
8031337468,1620200005,HTTP,Recherche normale,200,26514,232669865,https://34.244.75.167/events/search
8038215025,1620200006,HTTP,Recherche normale,200,26514,236795891,https://34.244.75.167/events/search
8091651232,1620200003,HTTP,Recherche normale,200,26514,226848066,https://34.244.75.167/events/search
8142645883,1620200002,HTTP,Recherche normale,200,26514,229566248,https://34.244.75.167/events/search
8164446138,1620200001,HTTP,Recherche anormale,200,26514,224534302,https://34.244.75.167/events/search
8176927499,1620200004,HTTP,Recherche anormale,200,26514,221640382,https://34.244.75.167/events/search
8180532890,1620200007,HTTP,Recherche normale,200,26514,223002857,https://34.244.75.167/events/search
8221603818,1620200000,HTTP,Recherche anormale,200,26514,227045568,https://34.244.75.167/events/search
8259925511,1620200005,HTTP,Recherche anormale,200,26514,228184676,https://34.244.75.167/events/search
8273414877,1620200006,HTTP,Recherche anormale,200,26514,234987622,https://34.244.75.167/events/search
8329676902,1620200003,HTTP,Recherche anormale,200,26514,237787207,https://34.244.75.167/events/search
8373829379,1620200002,HTTP,Recherche anormale,200,26514,230965945,https://34.244.75.167/events/search
8387473768,1620200001,HTTP,Recherche normale,200,26514,222802233,https://34.244.75.167/events/search
8408163807,1620200004,HTTP,Recherche normale,200,26514,230949428,https://34.244.75.167/events/search
8412720810,1620200007,HTTP,Recherche anormale,200,26514,231999779,https://34.244.75.167/events/search
8000000000,,GLOBAL,,0,8,0,
8463286155,1620200000,HTTP,Recherche normale,200,26514,240922293,https://34.244.75.167/events/search
8488180529,1620200005,HTTP,Recherche normale,200,26514,227982313,https://34.244.75.167/events/search
8501050904,1620200006,HTTP,Recherche normale,200,26514,227227773,https://34.244.75.167/events/search
8591618069,1620200003,HTTP,Recherche normale,200,26514,261664606,https://34.244.75.167/events/search
9134887608,1620200004,HTTP,Recherche anormale,200,26514,726472665,https://34.244.75.167/events/search
9134903608,1620200001,HTTP,Recherche anormale,200,26514,747213287,https://34.244.75.167/events/search
9135189466,1620200007,HTTP,Recherche normale,200,26514,721875212,https://34.244.75.167/events/search
