Timestamp,Vid,Type,Title,Status,Size,Latency
164429686,692700000,HTTP,Page 1,200,17,163488749
278943343,692700000,HTTP,Page 2,200,8,114281000
280389568,692700001,HTTP,Page 1,200,17,179734832
360362366,692700002,HTTP,Page 1,200,17,159709953
439890027,692700003,HTTP,Page 1,200,17,139169199
445312476,692700001,HTTP,Page 2,200,8,164840137
524674356,692700002,HTTP,Page 2,200,8,164195586
528398478,692700004,HTTP,Page 1,200,17,127697140
602993484,692700003,HTTP,Page 2,200,8,163021420
638084099,692700000,HTTP,Page SSL,200,8083,357561019
662109335,692700005,HTTP,Page 1,200,17,161150750
666057412,692700004,HTTP,Page 2,200,8,137543917
774099365,692700001,HTTP,Page SSL,200,8083,326971604
775389468,692700000,HTTP,Page 1,200,17,137206407
778459662,692700006,HTTP,Page 1,200,17,177490643
841113089,692700002,HTTP,Page SSL,200,8083,314665401
842353531,692700007,HTTP,Page 1,200,17,141190943
843375955,692700005,HTTP,Page 2,200,8,181180661
942092527,692700008,HTTP,Page 1,200,17,123048331
943007575,692700000,HTTP,Page 2,200,8,167470958
946503857,692700001,HTTP,Page 1,200,17,172268521
949847885,692700006,HTTP,Page 2,200,8,171245408
956318509,692700003,HTTP,Page SSL,200,8083,351781906
1013853268,692700007,HTTP,Page 2,200,8,171388483
1014851632,692700002,HTTP,Page 1,200,17,173617421
1032169233,692700004,HTTP,Page SSL,200,8083,364238824
1126432966,692700003,HTTP,Page 1,200,17,169990210
1130486769,692700009,HTTP,Page 1,200,17,201410599
1134492852,692700008,HTTP,Page 2,200,8,192207167
1150738885,692700001,HTTP,Page 2,200,8,203430944
1193440933,692700005,HTTP,Page SSL,200,8083,349094948
1211297399,692700002,HTTP,Page 2,200,8,196290932
1217041695,692700004,HTTP,Page 1,200,17,184606046
1219003175,692700010,HTTP,Page 1,200,17,189561257
1307753291,692700011,HTTP,Page 1,200,17,178140809
1308045560,692700003,HTTP,Page 2,200,8,181505898
1309202947,692700009,HTTP,Page 2,200,8,178555166
1330239603,692700006,HTTP,Page SSL,200,8083,379862100
1330946629,692700000,HTTP,Page SSL,200,8083,387451892
1382470801,692700012,HTTP,Page 1,200,17,152632428
1383076433,692700005,HTTP,Page 1,200,17,189539649
1392207347,692700007,HTTP,Page SSL,200,8083,376105473
1393127228,692700004,HTTP,Page 2,200,8,175883469
1398481139,692700010,HTTP,Page 2,200,8,179332967
1491468826,692700011,HTTP,Page 2,200,8,183512815
1493421544,692700013,HTTP,Page 1,200,17,159910014
1510529319,692700000,HTTP,Page 1,200,17,179415722
1513554681,692700001,HTTP,Page SSL,200,8083,359919514
1516542975,692700006,HTTP,Page 1,200,17,186139374
1520948513,692700008,HTTP,Page SSL,200,8083,385997093
1557812728,692700007,HTTP,Page 1,200,17,165419478
1565121006,692700014,HTTP,Page 1,200,17,131000603
1572778863,692700012,HTTP,Page 2,200,8,190123000
1582730727,692700005,HTTP,Page 2,200,8,199522725
1587357896,692700002,HTTP,Page SSL,200,8083,373666743
1676219646,692700015,HTTP,Page 1,200,17,141823884
1678918300,692700009,HTTP,Page SSL,200,8083,367064270
1681907479,692700003,HTTP,Page SSL,200,8083,371763375
1683577969,692700008,HTTP,Page 1,200,17,162495788
1687441357,692700001,HTTP,Page 1,200,17,173699920
1692876418,692700006,HTTP,Page 2,200,8,176170699
1694226740,692700013,HTTP,Page 2,200,8,200708420
1695418853,692700000,HTTP,Page 2,200,8,184715469
1761206681,692700002,HTTP,Page 1,200,17,173547873
1781999308,692700007,HTTP,Page 2,200,8,224047127
1789311891,692700014,HTTP,Page 2,200,8,224009040
1807545363,692700004,HTTP,Page SSL,200,8083,413693430
1818495808,692700010,HTTP,Page SSL,200,8083,417664725
1832178076,692700015,HTTP,Page 2,200,8,155817423
1842416372,692700009,HTTP,Page 1,200,17,163382281
1863043968,692700011,HTTP,Page SSL,200,8083,370884638
1885502060,692700016,HTTP,Page 1,200,17,250706225
1897425220,692700001,HTTP,Page 2,200,8,209843215
1909035366,692700003,HTTP,Page 1,200,17,226932594
1910329333,692700008,HTTP,Page 2,200,8,225576392
1935397361,692700002,HTTP,Page 2,200,8,173751236
1940196730,692700017,HTTP,Page 1,200,17,204824990
1992305964,692700012,HTTP,Page SSL,200,8083,419137188
2011572381,692700004,HTTP,Page 1,200,17,203702775
2023167045,692700010,HTTP,Page 1,200,17,204520852
2030095078,692700011,HTTP,Page 1,200,17,166958242
2038232966,692700009,HTTP,Page 2,200,8,195697946
2038333141,692700006,HTTP,Page SSL,200,8083,344922442
2048548907,692700005,HTTP,Page SSL,200,8083,463838280
2079119632,692700018,HTTP,Page 1,200,17,237203990
2091534980,692700000,HTTP,Page SSL,200,8083,394790019
2104293948,692700014,HTTP,Page SSL,200,8083,312852319
2106945246,692700013,HTTP,Page SSL,200,8083,412049687
2110364171,692700003,HTTP,Page 2,200,8,201152338
2113322339,692700017,HTTP,Page 2,200,8,172824616
2118482539,692700016,HTTP,Page 2,200,8,232780939
2122983973,692700019,HTTP,Page 1,200,17,180981967
2174621192,692700007,HTTP,Page SSL,200,8083,391553952
2211532707,692700012,HTTP,Page 1,200,17,219060301
2216567147,692700015,HTTP,Page SSL,200,8083,382467066
2231511724,692700005,HTTP,Page 1,200,17,182832341
2240544797,692700010,HTTP,Page 2,200,8,217252361
2276740313,692700004,HTTP,Page 2,200,8,264987331
